"Day","Date","League","Type","Acton.s.Nightmare","Caer.Blaidd..Wolfpack.s.Den","Death.and.Taxes","Hall.of.Grandmasters","Hallowed.Ground","Maelstr√.m.of.Chaos","Mao.Kun","Oba.s.Cursed.Trove","Olmec.s.Sanctum","Pillars.of.Arun","Poorjoy.s.Asylum","The.Coward.s.Trial","The.Putrid.Cloister","The.Twilight.Temple","The.Vinktar.Square","Vaults.of.Atziri","Whakawairua.Tuahu","The.Beachhead_T10","The.Beachhead_T15","The.Perandus.Manor","Doryani.s.Machinarium","The.Beachhead_T5","Altered.Distant.Memory","Augmented.Distant.Memory","Cortex","Rewritten.Distant.Memory","The.Beachhead","Twisted.Distant.Memory"
76,"2016-11-16","Essence HC","UniqueMap",3.98947,9.97368,2.95789,2.28421,9.59474,4,5.91754,9.21053,4,NA,13.54737,4.92105,38.35439,NA,158.57895,7.57719,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
77,"2016-11-17","Essence HC","UniqueMap",3.17069,8.4569,2.67724,2,9.41379,4,5.97586,9.6931,4,NA,10.78545,4.61379,39.91741,NA,160,7.04655,2.96724,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
78,"2016-11-18","Essence HC","UniqueMap",3,7,2.70893,1.8425,10.70357,3.87679,6.54464,9.82321,4,NA,10.48571,4.35179,37.3625,NA,160.17857,6.96625,3.34643,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
79,"2016-11-19","Essence HC","UniqueMap",3.9625,6.93571,2.86607,3.16607,10.58571,3.98929,7,10,4,NA,15.66071,4.99643,38.59286,NA,153.32143,6.7825,3.74643,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
80,"2016-11-20","Essence HC","UniqueMap",4,7,3.20702,3.14737,10.33333,3.33684,6.83684,9.38596,4,NA,19.92281,4.2193,38.67193,NA,153,7.00351,3.9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
81,"2016-11-21","Essence HC","UniqueMap",4,7.01091,2.98436,2.10909,10.25873,3.18418,7.02727,8.85455,4,NA,11.85691,4.33818,41.38436,NA,168,7,3.86545,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
82,"2016-11-22","Essence HC","UniqueMap",4,7,2.9625,2,11.55143,3.98536,7.02714,9.99143,4,NA,12.47875,5,39.91821,NA,151,6.94411,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
83,"2016-11-23","Essence HC","UniqueMap",4,7,3,2.10678,11.94271,3.74932,7,9.99898,4,NA,12.00068,4.98915,38.80068,NA,150.94915,6.97186,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
84,"2016-11-24","Essence HC","UniqueMap",4,7,2.99579,2.64263,11.77649,3.32404,6.91632,9.98947,4,NA,10.12912,5,37.35842,NA,150.05263,6.95614,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
85,"2016-11-25","Essence HC","UniqueMap",4,7,2.9475,3.13089,12.58964,3.15679,6.67768,9.51714,4,NA,9.96107,4.72214,41.86411,NA,150,6.55054,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
86,"2016-11-26","Essence HC","UniqueMap",4,7.01965,2.88965,3.69053,14.94421,3.06439,6.9,9,4,NA,12.45667,3.98088,43.19579,NA,150.70526,7.29544,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
87,"2016-11-27","Essence HC","UniqueMap",4,6.77,2.9725,5.34,18.34411,3.05357,7.06875,9.13125,4,NA,18.41857,4.58232,38.84375,NA,152.07125,7.755,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
88,"2016-11-28","Essence HC","UniqueMap",4,5.93843,2.80725,4.93373,24.26941,3,7,9.51549,4.0002,NA,18.05431,4.97451,37.86922,NA,158.85373,7.4802,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1,"2017-08-04","Harbinger HC","UniqueMap",0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
2,"2017-08-05","Harbinger HC","UniqueMap",0,5,1.625,5,2,0,0,12,8,NA,0,0,0,NA,0,4,8,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
3,"2017-08-06","Harbinger HC","UniqueMap",4.8,0,2.54276,3.495,1.76517,5.46818,0,13.83849,8.74781,NA,15.35,8.67909,40,NA,87.4,5.16429,3.55017,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
4,"2017-08-07","Harbinger HC","UniqueMap",4.21579,11.00684,2,1.58404,2.60211,5.35456,8.75158,12.96386,5.18842,NA,8.60965,6.46982,36.5593,NA,99.52632,4.86807,2.88544,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
5,"2017-08-08","Harbinger HC","UniqueMap",3.9452,10.2538,1.5498,0.9392,2.0464,3.4458,7.7032,7.3118,3.382,NA,4.3846,4.438,25.0016,NA,89.0462,5.2516,2.883,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
6,"2017-08-09","Harbinger HC","UniqueMap",3.5198,8.226,2,0.8724,3.0278,3,8.2542,6.4098,3.0624,NA,5.0512,4.2476,23.218,NA,49.9682,5.0038,2.631,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
7,"2017-08-10","Harbinger HC","UniqueMap",2.99647,8.09765,1.8351,0.93863,3,3,8.6649,7.07745,3,NA,6.59294,4.08745,23.23667,NA,36.79098,4.87039,2.35863,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
8,"2017-08-11","Harbinger HC","UniqueMap",2.76245,7.82857,1.3151,0.97286,2.98653,2.99633,7.95347,6.54102,3.11878,NA,6.46204,4.55367,22.62612,NA,40,4.40469,2.19102,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
9,"2017-08-12","Harbinger HC","UniqueMap",2.98918,7.19143,1.32367,0.88735,3,2.58245,8.39102,7.04082,2.31918,NA,6.10796,5.01204,23.21755,NA,39.26531,4.02592,2.53265,0,0,120,NA,0,NA,NA,NA,NA,NA,NA
10,"2017-08-13","Harbinger HC","UniqueMap",2.9426,6.8,1.4266,0.7644,2.8324,2.932,8.3086,7.2956,2.3812,NA,5.1808,4.889,27.5048,NA,29.2396,4.097,2,0,0,120,NA,0,NA,NA,NA,NA,NA,NA
11,"2017-08-14","Harbinger HC","UniqueMap",3,7.49673,2,0.58653,2.85878,2.11673,8.01429,7.65776,2.8549,NA,5.24776,4.64224,26.17143,NA,22.94469,4.1149,2,0,0,113.87755,NA,0,NA,NA,NA,NA,NA,NA
12,"2017-08-15","Harbinger HC","UniqueMap",3.0794,7.2558,2,0.8678,2.9934,2.3022,7.8202,7.0156,2.143,NA,5.7306,3.9958,26.716,NA,28.2,4.1966,1.992,0,0,100,NA,0,NA,NA,NA,NA,NA,NA
13,"2017-08-16","Harbinger HC","UniqueMap",3.15265,6.69306,1.74388,0.74673,2.93837,2.99306,7.47898,6.97959,2.65408,NA,5.97959,4.31429,26.61653,NA,24.0898,4.05857,1.99796,0,0,100,NA,0,NA,NA,NA,NA,NA,NA
14,"2017-08-17","Harbinger HC","UniqueMap",3,6.02408,1.29776,0.83347,2.66592,2.58796,8.36857,6.49184,2.05306,NA,5.97796,3.7951,25.51388,NA,20.26224,4.36796,1.99653,0,0,100,NA,0,NA,NA,NA,NA,NA,NA
15,"2017-08-18","Harbinger HC","UniqueMap",2.85122,5.98939,1.12531,0.81143,2.9802,2.39102,10.13653,6.07061,1.99918,NA,5.77898,3.74429,23.56061,NA,22.24224,4.10102,2,0,0,100,NA,0,NA,NA,NA,NA,NA,NA
16,"2017-08-19","Harbinger HC","UniqueMap",2.9202,5.88878,1.08429,0.7051,2.48408,2,10.13,5.58265,2,NA,5.43163,3.38429,29.49388,NA,20.35469,4,2,0,0,100,NA,0,NA,NA,NA,NA,NA,NA
17,"2017-08-20","Harbinger HC","UniqueMap",2.273,5.1892,1.0228,0.5024,2.9284,1.9964,10,4.371,1.964,NA,5.0282,3,27.5788,NA,19.9882,4,1.9984,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
18,"2017-08-21","Harbinger HC","UniqueMap",2.5549,4.58898,1.00449,0.69245,2.55796,1.97449,10,4.87837,2,NA,5.50551,3,26.33327,NA,20.08102,4,1.9802,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
19,"2017-08-22","Harbinger HC","UniqueMap",2.516,4,1,0.6908,2.6282,1.997,9.6596,4.8334,1.8438,NA,5.9738,3,25.4712,NA,22.6844,3.9932,1.9914,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
20,"2017-08-23","Harbinger HC","UniqueMap",2.1262,4.1244,1,0.6908,2.8938,1.9758,10,4.3948,2,NA,5.8398,3.0036,23.2124,NA,19.7464,3.9986,1.984,0,0,390.44737,NA,0,NA,NA,NA,NA,NA,NA
21,"2017-08-24","Harbinger HC","UniqueMap",2,4,0.9184,0.674,2.7886,1.8168,9.96,4.0188,2,NA,5.0034,3.128,23.6116,NA,19.5414,4,1.9986,0,0,388.04,NA,0,NA,NA,NA,NA,NA,NA
22,"2017-08-25","Harbinger HC","UniqueMap",2,3.9966,0.9044,0.4938,2.2476,1.9808,9.19,4,2,NA,4.958,3,25.1702,NA,21.7998,4,1.9648,0,0,353.36,NA,0,NA,NA,NA,NA,NA,NA
23,"2017-08-26","Harbinger HC","UniqueMap",2.03959,3.74633,0.99347,0.52224,2.33245,1.98633,8.36857,4,2,NA,4.02102,2.99592,29.1349,NA,21.59449,3.83102,1.47388,0,0,349.08163,NA,0,NA,NA,NA,NA,NA,NA
24,"2017-08-27","Harbinger HC","UniqueMap",2.0036,3,0.966,0.4152,2.9732,1.9988,8.65,3.977,1.9952,NA,4.2544,3,32.0558,NA,22.6024,3.6612,1.3528,0,0,284.8,NA,0,NA,NA,NA,NA,NA,NA
25,"2017-08-28","Harbinger HC","UniqueMap",2,3,0.99816,0.53673,2.42245,1.99673,8.94265,3.71184,1.75306,NA,4.22551,2.99408,31.2002,NA,21.67388,3.95286,1.29837,0,0,230.04082,NA,0,NA,NA,NA,NA,NA,NA
26,"2017-08-29","Harbinger HC","UniqueMap",1.8546,2.9994,0.9974,0.4936,2.6424,1.8956,9,3.452,1.9942,NA,4.1988,2.6694,32.952,NA,19.2558,3.6294,1.4424,0,0,212.0724,NA,0,NA,NA,NA,NA,NA,NA
27,"2017-08-30","Harbinger HC","UniqueMap",1.79878,2.86878,0.97959,0.57061,2.20735,1.93204,8.81388,3.00061,1.55143,NA,4.13796,2.26714,35.9098,NA,17.80531,3.90633,1.99306,0,0,206.27327,NA,0,NA,NA,NA,NA,NA,NA
28,"2017-08-31","Harbinger HC","UniqueMap",1.836,2.2414,0.9714,0.4584,2,1.2242,8.903,3.3634,1.3816,NA,4.0094,2.8176,34.462,NA,16.963,3.9914,1.8948,0,0,193.6868,NA,0,NA,NA,NA,NA,NA,NA
29,"2017-09-01","Harbinger HC","UniqueMap",1.99959,2.52082,0.95429,0.52551,2,1.23327,8.83571,3.63612,1.87755,NA,3.88347,2.83653,33.71327,NA,18.26163,3.82184,1.9802,0,0,181.51633,NA,0,NA,NA,NA,NA,NA,NA
30,"2017-09-02","Harbinger HC","UniqueMap",2.0154,2.6734,0.9896,0.6168,2,1.789,8.924,3.5096,1.3506,NA,3.853,2.8324,32.4508,NA,18.3958,3.8794,1.3554,0,0,169.1372,NA,0,NA,NA,NA,NA,NA,NA
31,"2017-09-03","Harbinger HC","UniqueMap",2.0734,2.802,0.961,0.5426,2,1.6394,8.6522,3,1.817,NA,3.2922,2.6438,31.1284,NA,20.6166,3.9906,0.9976,0,0,148.5618,NA,0,NA,NA,NA,NA,NA,NA
32,"2017-09-04","Harbinger HC","UniqueMap",1.9978,2.8894,0.9802,0.5366,1.9868,1.621,8.5276,3,1.918,NA,3.099,2.6804,29.8134,NA,22.5606,3.9954,1,0,0,146.0002,NA,0,NA,NA,NA,NA,NA,NA
33,"2017-09-05","Harbinger HC","UniqueMap",1.98714,2.79816,0.86755,0.6249,1.97837,1.97163,8.93898,3,1.6998,NA,3.60918,2.82694,30.0149,NA,22.97388,3.98082,1,0,0,138.63224,NA,0,NA,NA,NA,NA,NA,NA
34,"2017-09-06","Harbinger HC","UniqueMap",1.9166,2.9624,0.9176,0.5816,1.9964,1.1518,8.6522,3,1.0006,NA,3.504,2.9686,32.3412,NA,22.9464,3.8052,1,0,0,151.37,NA,0,NA,NA,NA,NA,NA,NA
35,"2017-09-07","Harbinger HC","UniqueMap",1.933,2.9596,0.9924,0.656,1.996,1,8.5218,3,1.077,NA,3.6784,2.9238,32.5284,NA,22.86,3.971,0.9996,0,0,175.8416,NA,0,NA,NA,NA,NA,NA,NA
36,"2017-09-08","Harbinger HC","UniqueMap",1.79469,2.5349,0.99408,0.50694,2,1.03204,8.97082,2.9651,1.49857,NA,3.97776,2.81286,33.02653,NA,22.36184,3.99796,0.99245,0,0,172.83061,NA,0,NA,NA,NA,NA,NA,NA
37,"2017-09-09","Harbinger HC","UniqueMap",1.63,2.99,0.9838,0.7526,2,1.1326,8.2844,3,1.6168,NA,4.0292,2.9028,33.471,NA,22.986,4,1,0,0,171.9622,NA,0,NA,NA,NA,NA,NA,NA
38,"2017-09-10","Harbinger HC","UniqueMap",1.9292,2.9618,0.9792,0.8886,2,1.2444,7.9392,2.8782,1.5878,NA,4.5444,2.8968,39.552,NA,23.365,3.9912,1,0,0,200,NA,0,NA,NA,NA,NA,NA,NA
39,"2017-09-11","Harbinger HC","UniqueMap",1.48959,2.71061,0.93816,0.52878,2,1.40755,8.3902,2.98918,1.17673,NA,4.55898,2.33367,43.6551,NA,20.98429,3.86653,1,0,0,201.83673,NA,0,NA,NA,NA,NA,NA,NA
40,"2017-09-12","Harbinger HC","UniqueMap",1.667,2.329,0.865,0.5204,2,1.2384,8.0544,2.4024,1.0732,NA,4.5002,2.003,39.519,NA,23.0408,3.9646,0.9774,0,0,205.2,NA,0,NA,NA,NA,NA,NA,NA
41,"2017-09-13","Harbinger HC","UniqueMap",1.75082,2.75449,0.95061,0.54918,2,1.39816,8.63694,2.0898,1.07041,NA,4.88469,1.94755,38.97367,NA,26.90735,3.99367,0.99327,0,0,200,NA,0,NA,NA,NA,NA,NA,NA
42,"2017-09-14","Harbinger HC","UniqueMap",1.8156,2.8548,0.9794,0.6492,1.5408,1.1262,8.9588,2.3714,1.0066,NA,4.7942,2,38.9534,NA,28.545,3.9854,1,0,0,198.2,NA,0,NA,NA,NA,NA,NA,NA
43,"2017-09-15","Harbinger HC","UniqueMap",1.8316,2.9472,0.904,0.3986,2,1.1362,8.4786,2.2738,1.0486,NA,4.7506,2,37.927,NA,25.5882,3.9198,1,0,0,196.515,NA,0,NA,NA,NA,NA,NA,NA
44,"2017-09-16","Harbinger HC","UniqueMap",1.8551,3,0.90408,0.60837,1.98898,1.80939,8.91837,2.82857,1.10163,NA,4.77633,2.2602,36.96265,NA,24.27163,3.5851,0.99878,0,0,209.65306,NA,0,NA,NA,NA,NA,NA,NA
45,"2017-09-17","Harbinger HC","UniqueMap",1.8294,2.9552,0.9884,0.8192,2,1.9508,9,2.4796,1.0268,NA,5,2.0442,40.3982,NA,24.416,3.8622,1,0,0,225.8198,NA,0,NA,NA,NA,NA,NA,NA
46,"2017-09-18","Harbinger HC","UniqueMap",1.6724,2.9976,0.9992,0.6004,1.447,1.9686,8.9854,2.9874,1.0558,NA,4.7192,2,44.792,NA,28.4752,3.9496,1,0,0,240.627,NA,0,NA,NA,NA,NA,NA,NA
47,"2017-09-19","Harbinger HC","UniqueMap",1.155,3,0.99854,0.63375,1.44625,1.09875,8.98938,2.88396,1.01833,NA,4.99688,2.07104,44.64083,NA,35.4125,3.29646,1,0,0,245.80896,NA,0,NA,NA,NA,NA,NA,NA
48,"2017-09-20","Harbinger HC","UniqueMap",1.54667,3,0.9998,0.82725,1.88353,1.58196,8.82863,2.99471,1,NA,4.45843,2.04784,43.69902,NA,32.42314,3.12784,0.99373,0,0,255.07157,NA,0,NA,NA,NA,NA,NA,NA
49,"2017-09-21","Harbinger HC","UniqueMap",1.9004,2.9306,0.9998,0.7734,2,1.9214,8.651,2.6268,1,NA,3.8282,2.6274,43.579,NA,36.8942,3.6108,1,0,0,282.3034,NA,0,NA,NA,NA,NA,NA,NA
50,"2017-09-22","Harbinger HC","UniqueMap",1.4672,2.1318,0.9474,0.9428,1.9262,1.6746,8.746,2,1,NA,3.2702,2.809,44.9828,NA,40.9704,3.9386,1,0,0,281.5798,NA,0,NA,NA,NA,NA,NA,NA
51,"2017-09-23","Harbinger HC","UniqueMap",1.84078,2,0.93882,0.85373,1.37294,1.37569,9,2.44549,1.00039,NA,3,2.42765,44.78353,NA,39.57059,3.94588,1,15.26567,22.05467,298.70412,NA,16.74409,NA,NA,NA,NA,NA,NA
52,"2017-09-24","Harbinger HC","UniqueMap",1.94941,2,0.99275,0.6351,1.76118,1.68882,8.99569,2.37333,1,NA,3,2.18804,44.89882,NA,38.13353,3.53353,1,13.35,22.90686,224.9298,NA,13.64706,NA,NA,NA,NA,NA,NA
53,"2017-09-25","Harbinger HC","UniqueMap",1.9976,2,0.8778,0.593,1.9658,1.6502,8.9948,2.8484,1,NA,3.2802,2.7404,42.1074,NA,37.908,3.7858,1,13.2446,24.497,205.0672,NA,14.4126,NA,NA,NA,NA,NA,NA
54,"2017-09-26","Harbinger HC","UniqueMap",1.66824,2,0.70706,0.67902,1.91549,1.46882,9.27431,2.51941,1.00078,NA,3.46569,2.84882,38.64745,NA,37.15765,3.88216,1,13.86569,24.41039,215.00157,NA,10.53941,NA,NA,NA,NA,NA,NA
55,"2017-09-27","Harbinger HC","UniqueMap",1.792,2,0.8864,0.5414,1.9676,1.6604,9.0228,2.6972,1,NA,3.9976,2.985,38.87,NA,37.8586,3.9872,1,12.468,24.3726,215.8398,NA,10.598,NA,NA,NA,NA,NA,NA
56,"2017-09-28","Harbinger HC","UniqueMap",1.7972,2,0.9316,0.4486,1.7882,1.0282,9.7654,2.607,1.0196,NA,4,2.9674,37.9932,NA,38.5552,3.8756,0.9844,14.45,24.6656,216.7852,NA,9.8944,NA,NA,NA,NA,NA,NA
57,"2017-09-29","Harbinger HC","UniqueMap",1.61059,2,0.92863,0.76941,1.73412,1.3051,9.13549,2.86667,1.27235,NA,4.00471,2.98843,38.89333,NA,39.62706,3.86882,1,14.72588,24.87137,229.19804,NA,12.95098,NA,NA,NA,NA,NA,NA
58,"2017-09-30","Harbinger HC","UniqueMap",1.842,2,0.9288,0.8946,1.9054,1.6258,9.9836,2.7682,1.264,NA,4.1384,2.9316,39.5182,NA,50.1484,3.932,1,14.9852,24.9828,227.2372,NA,15.3012,NA,NA,NA,NA,NA,NA
59,"2017-10-01","Harbinger HC","UniqueMap",1.90157,2,0.88137,0.89196,2,1.08804,9.81412,2.87961,1.00157,NA,4.07412,3,40.07922,NA,39.34902,3.95392,1,15.92647,24.92078,334.06627,NA,15.96725,NA,NA,NA,NA,NA,NA
60,"2017-10-02","Harbinger HC","UniqueMap",1.9946,2,0.8898,0.7654,2,1,9.038,2.4898,1,NA,3.5,3,42.106,NA,38.7048,4,1,16.703,24.6206,373.4084,NA,17.9566,NA,NA,NA,NA,NA,NA
61,"2017-10-03","Harbinger HC","UniqueMap",1.99392,2,0.8602,0.5798,2,1.26294,8.48647,2.9451,1,NA,3,3,43.04353,NA,41.11176,3.99176,1,15.60902,24.60686,379.27922,NA,15.33392,NA,NA,NA,NA,NA,NA
62,"2017-10-04","Harbinger HC","UniqueMap",1.926,2,0.9414,0.6532,1.5736,1.7116,8.7174,3,1.0048,NA,3.4196,3,45.967,NA,37.4682,3.9334,1,14.8152,24.7106,377.1474,NA,14.9782,NA,NA,NA,NA,NA,NA
63,"2017-10-05","Harbinger HC","UniqueMap",1.76353,1.95,1,0.67588,2,2,8.09608,3,1.38824,NA,3.97686,2.99588,45.76647,NA,36.39,3.99922,1,15.4,24.6049,376.12843,NA,15.38275,NA,NA,NA,NA,NA,NA
64,"2017-10-06","Harbinger HC","UniqueMap",1.1448,1.991,1,0.5968,1.8994,1.8914,7.7484,3,1.6044,NA,4,3,45.1398,NA,37.0776,3.6964,1,15,25.0426,378.4036,NA,15.43,NA,NA,NA,NA,NA,NA
65,"2017-10-07","Harbinger HC","UniqueMap",1.36725,1.93922,1,0.71255,2,1.91706,7.94373,2.93333,1.2102,NA,4,3.04157,45.31373,NA,39.14431,3.53157,1,15,24.3702,382.11059,NA,15.6549,NA,NA,NA,NA,NA,NA
66,"2017-10-08","Harbinger HC","UniqueMap",1,1.9792,1,0.7036,1.7524,1.6312,7.9838,2.9598,1,NA,4,3.3976,45.2236,NA,38.9276,3,0.9926,14.9354,25.166,430.795,NA,17.1266,NA,NA,NA,NA,NA,NA
67,"2017-10-09","Harbinger HC","UniqueMap",1.00667,2,1,0.87882,1.98843,1.02804,7.9598,2.99922,1.00275,NA,3.98569,3.68922,45.1198,NA,38.47373,3,0.99961,14.79314,24.7451,423.87294,NA,17.08235,NA,NA,NA,NA,NA,NA
68,"2017-10-10","Harbinger HC","UniqueMap",1.247,2.015,1,0.8326,1.9576,1.6076,8,3,1.1968,NA,3.9686,3.5408,44.9884,NA,37.887,2.9996,0.9996,14.9624,24.9804,414.9108,NA,17,NA,NA,NA,NA,NA,NA
69,"2017-10-11","Harbinger HC","UniqueMap",1.27471,2.24863,0.99706,0.72745,1.96765,1.94902,7.98157,2.95412,1.0202,NA,3.58137,3.76373,40.07412,NA,43.74882,3,0.98902,14.99549,25.26235,391.88353,NA,17,NA,NA,NA,NA,NA,NA
70,"2017-10-12","Harbinger HC","UniqueMap",1.79314,2.32451,1,0.64451,1.96863,1.66412,7.99882,3,1.06667,NA,3.48902,3.99745,39.13725,NA,45.33176,3,0.99235,15,22.39373,378.6502,NA,17.17157,NA,NA,NA,NA,NA,NA
71,"2017-10-13","Harbinger HC","UniqueMap",2,2.0606,0.956,0.8454,1.967,1.2038,7.6842,3,1.3562,NA,3.8772,3.9778,39.2848,NA,45.7524,3.0192,0.936,14.8384,23.7904,367.029,NA,15.617,NA,NA,NA,NA,NA,NA
72,"2017-10-14","Harbinger HC","UniqueMap",2,2.48353,0.88843,0.63667,1.60471,0.94882,7.96549,2.96255,1.32255,NA,3.85608,3.83196,44.94471,NA,47.27059,3.03686,0.88294,14.6751,24.69157,316.71588,NA,15.85789,NA,NA,NA,NA,NA,NA
73,"2017-10-15","Harbinger HC","UniqueMap",2,2.967,0.9476,0.7808,1.996,1.1852,8.0098,2.3328,1.8764,NA,4.032,3.374,38.3016,NA,42.7,3,0.9886,15.018,24.9782,340.6722,NA,21.7252,NA,NA,NA,NA,NA,NA
74,"2017-10-16","Harbinger HC","UniqueMap",2,2.99882,0.79745,0.80176,1.93569,1.22039,7.87784,2.22118,1.83,NA,4.8249,3.6649,44.03392,NA,42.7,3,1,15.22176,25.50784,385.42176,NA,19.69,NA,NA,NA,NA,NA,NA
75,"2017-10-17","Harbinger HC","UniqueMap",2,2.86882,0.94059,0.74235,1.99843,1.5,8.14235,2,1.91039,NA,4.65863,3.98529,37.78176,NA,42.7,3,0.97824,15.00235,21.37902,382.89863,NA,16.72647,NA,NA,NA,NA,NA,NA
76,"2017-10-18","Harbinger HC","UniqueMap",2,2.3126,0.9008,0.6036,2,1.8982,8.4194,2.491,1.9996,NA,4.2428,4,41.8278,NA,42.224,3,0.9826,15,23.6804,379.37667,NA,15.3744,NA,NA,NA,NA,NA,NA
77,"2017-10-19","Harbinger HC","UniqueMap",2,2.21922,0.71725,0.62843,2,1.44588,8.49922,2.91686,1.96549,NA,3.79451,4,49.90255,NA,42,3,1,15,25.98157,0,NA,12.34216,NA,NA,NA,NA,NA,NA
78,"2017-10-20","Harbinger HC","UniqueMap",2,2.4148,0.8094,0.6338,2,1,8.4376,2.9222,1.82,NA,3.74,4,50.1024,NA,47.0918,3,1,15.2494,25.4154,0,NA,12.5578,NA,NA,NA,NA,NA,NA
79,"2017-10-21","Harbinger HC","UniqueMap",2,2.58078,0.73843,0.65196,2,1,8.87765,2.40196,1.48882,NA,3.56941,4.65255,50.39627,NA,61.72686,3,1,15.84196,26.11098,757.40143,NA,6.80059,NA,NA,NA,NA,NA,NA
80,"2017-10-22","Harbinger HC","UniqueMap",2,2.9306,0.6892,0.8922,2,1,8.9178,2.8558,1.6846,NA,4,5.0516,50.1064,NA,101.266,3,0.9432,17.1966,27.3152,502.0552,NA,5.8858,NA,NA,NA,NA,NA,NA
81,"2017-10-23","Harbinger HC","UniqueMap",2,3,0.67627,0.66353,2,1,8.9451,2.99902,1.82745,NA,3.72157,4.56078,49.8149,NA,100.93294,2.96176,0.92765,18.63275,26.71471,324.75157,NA,7.70863,NA,NA,NA,NA,NA,NA
82,"2017-10-24","Harbinger HC","UniqueMap",2,2.97294,0.8949,0.58549,2,1.0049,8.85588,3,1.95412,NA,3.32765,2.81216,45.68745,NA,101.27804,2.98667,1,19.24627,26.67843,298.36412,NA,7.70137,NA,NA,NA,NA,NA,NA
83,"2017-10-25","Harbinger HC","UniqueMap",2,2.936,0.9412,0.6072,2,1.0802,8.33,3,1.9206,NA,3.663,3.1014,46.5792,NA,102.682,2.9904,0.933,18.923,26.9904,308.046,NA,6.913,NA,NA,NA,NA,NA,NA
84,"2017-10-26","Harbinger HC","UniqueMap",1.9851,2.90882,0.98235,0.58902,2,1.00706,8.31824,3,1.77647,NA,3.99176,4.09412,50.30706,NA,102.74784,3,0.84216,17.28529,28.94275,308.24353,NA,3.53412,NA,NA,NA,NA,NA,NA
85,"2017-10-27","Harbinger HC","UniqueMap",1.5482,3,1,0.5952,1.9502,1.1552,9,2.9572,1.3108,NA,4,3.4106,50.001,NA,102.55385,3,1,18.0336,28.761,307.182,NA,4.8228,NA,NA,NA,NA,NA,NA
86,"2017-10-28","Harbinger HC","UniqueMap",1.81137,2.7051,1,0.61,2,1.26588,9,3,1.58451,NA,4.03784,4.90039,48.96196,NA,45,3,1,16.33471,28.23863,308.71765,NA,19,NA,NA,NA,NA,NA,NA
87,"2017-10-29","Harbinger HC","UniqueMap",2,2.3414,1,0.6506,2,2,9.024,3,1.3668,NA,4.7546,4.3272,47.5396,NA,0,3,1,18.9222,28.0842,306.474,NA,19.036,NA,NA,NA,NA,NA,NA
88,"2017-10-30","Harbinger HC","UniqueMap",2,2.95059,1,0.69373,2,2,9.08941,3,1.62431,NA,4.18118,4.29843,41.74392,NA,0,3.16667,1,18.09039,28.57725,305.58627,NA,19.12,NA,NA,NA,NA,NA,NA
89,"2017-10-31","Harbinger HC","UniqueMap",2,2.9394,1,0.6184,1.9878,2,8.9928,3,1.5184,NA,4.73,4.5272,38.0044,NA,0,3.5354,1,17.2394,28.4402,319.8556,NA,19.12,NA,NA,NA,NA,NA,NA
90,"2017-11-01","Harbinger HC","UniqueMap",2,2.9956,1,0.6228,1.9468,2,8.851,3,1.7138,NA,4.8208,4.7674,34.002,NA,0,3,1,18.9952,28.2952,268.2362,NA,19.12,NA,NA,NA,NA,NA,NA
91,"2017-11-02","Harbinger HC","UniqueMap",2,2.7949,1,0.66588,1.99647,1.98902,9.2151,2.95451,1.53784,NA,4.22686,5.00941,37.2202,NA,0,3,1,18.02647,28.54216,207.02275,NA,18.51294,NA,NA,NA,NA,NA,NA
92,"2017-11-03","Harbinger HC","UniqueMap",1.9996,3,1,0.6174,1.8714,1.4542,9.3348,2.0178,1.4214,NA,4.0952,5.0814,35.4406,NA,0,3.0424,0.984,17.797,28.8408,206.1472,NA,17.2272,NA,NA,NA,NA,NA,NA
